Id Cliente;Nome Cliente;Email;Estado;CPF;Id Compra
1;Samanta Ferraz;samanta.ferraz@...;SP;000.000.000.11;1
2;Mario Souza;mario.souza@...;SP;000.000.000.22;2
3;Vania Gomes;vania.gomes@...;RJ;000.000.000.33;3
4;Henrique Lima;henrique.lima@...;MG;000.000.000.44;4
5;Yasmin Ferreira;yasmin.ferreira@...;MT;000.000.000.55;5
6;Mariana Braga;mariana.braga@...;RN;000.000.000.66;6
7;Bruna Gomes;bruna.gomes@...;BA;000.000.000.77;7
9;Otavio Silva;otavio.silva@...;BA;000.000.000.99;9
10;Paula Almeida;paula.almeida@...;MG;000.000.000.1010;10
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
